Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
3/1/1980,1.027681219,1.031119904,1.029330865,1.032601381,1.031064268,1.03454598,1.035174047,1.037391631,1.041647759,1.049270382
4/1/1980,1.027860447,1.031386758,1.02955073,1.032796336,1.031215629,1.034722267,1.035414207,1.037617782,1.041916921,1.049565017
5/1/1980,1.028195529,1.031693698,1.029876068,1.033100391,1.031517156,1.035018197,1.035682586,1.037922427,1.042168648,1.049863513
6/1/1980,1.028364976,1.031862896,1.030038377,1.033264861,1.03167766,1.035180074,1.03583131,1.038086004,1.042414183,1.050089024
7/1/1980,1.028736421,1.032186488,1.030364693,1.033571947,1.031969831,1.035502222,1.036223269,1.038521584,1.042906619,1.050605247
8/1/1980,1.029042985,1.032377649,1.030546037,1.033750961,1.032161365,1.035681157,1.036467403,1.038847265,1.043257453,1.051023388
9/1/1980,1.029283781,1.032542004,1.030685367,1.033828286,1.032234855,1.035805024,1.036617484,1.039048386,1.043487805,1.051334071
10/1/1980,1.029398649,1.032597348,1.030704744,1.033878323,1.032313305,1.035921449,1.036756805,1.039245805,1.043777059,1.051705402
11/1/1980,1.029483471,1.032632043,1.030752156,1.033996599,1.032540001,1.036130291,1.037044194,1.039580442,1.044274315,1.052330536
12/1/1980,1.029363639,1.032572151,1.030723707,1.033921738,1.032437573,1.036029164,1.036961645,1.039389159,1.044105978,1.052094393
1/1/1981,1.029508574,1.032693994,1.030847394,1.034064419,1.032526775,1.036057759,1.036992754,1.039316818,1.044043331,1.051898703
2/1/1981,1.029534929,1.032779501,1.030882855,1.034157485,1.032572206,1.036119922,1.037023034,1.039372941,1.044050013,1.051848633
3/1/1981,1.02982114,1.033112056,1.031239128,1.034471455,1.032854305,1.03641418,1.03730386,1.039644841,1.044397473,1.052193218
4/1/1981,1.029940599,1.033195532,1.031365352,1.034583592,1.032993121,1.036511189,1.037468169,1.039710962,1.044557893,1.052350206
5/1/1981,1.029991684,1.033235206,1.031421046,1.034671324,1.033094767,1.036645106,1.037564446,1.03982034,1.04470037,1.052609084
6/1/1981,1.029947601,1.033286042,1.031493245,1.034702364,1.033109644,1.03664552,1.037565691,1.039809526,1.044624734,1.052470139
7/1/1981,1.029868913,1.03325587,1.031476741,1.034636557,1.033072865,1.036541441,1.037478951,1.03971012,1.04448559,1.052358157
8/1/1981,1.029493628,1.032993009,1.031292313,1.034459428,1.032823688,1.036286452,1.037209206,1.039480968,1.044176004,1.051943527
9/1/1981,1.028995353,1.032679393,1.030990351,1.034136676,1.032513015,1.035997535,1.036901777,1.039197397,1.043906607,1.051573664
10/1/1981,1.029224614,1.032952846,1.03120356,1.034340194,1.032786424,1.036296731,1.037172616,1.039500843,1.04424358,1.052000603
11/1/1981,1.02909699,1.033045812,1.031277394,1.034475072,1.032946713,1.036429792,1.037366775,1.039641383,1.044373484,1.05213063
12/1/1981,1.028871,1.03291069,1.031248931,1.034413418,1.032892586,1.036438498,1.037321546,1.039602293,1.044300796,1.052050668
1/1/1982,1.028831491,1.032810704,1.031152406,1.034345146,1.03284466,1.036377141,1.037270924,1.039545323,1.044223517,1.051950513
2/1/1982,1.028521607,1.032626037,1.030979585,1.034161033,1.032711216,1.036263554,1.037209103,1.039453843,1.044131626,1.051820913
3/1/1982,1.028408059,1.032549623,1.030930922,1.034110566,1.032679409,1.036255264,1.037180061,1.039477127,1.04414332,1.051839004
4/1/1982,1.028639245,1.03275159,1.03118783,1.034310356,1.032895445,1.036511012,1.037367168,1.039675459,1.044388067,1.052049372
5/1/1982,1.028454913,1.032636335,1.031028202,1.034197823,1.032821077,1.036440114,1.037285424,1.039617237,1.044347127,1.052025806
6/1/1982,1.028128275,1.032438481,1.030925512,1.034075788,1.032752911,1.036372124,1.03723273,1.039561513,1.044319974,1.051998453
7/1/1982,1.02798187,1.032316241,1.030805512,1.033983134,1.032666573,1.036310356,1.037219453,1.039579394,1.044332506,1.052013602
8/1/1982,1.0282475,1.032644517,1.031139493,1.034293743,1.032920196,1.036542904,1.037449716,1.03983721,1.044588576,1.052251357
9/1/1982,1.028161539,1.032735803,1.031273954,1.034434821,1.033068936,1.036745237,1.037662186,1.040019805,1.044783287,1.052572925
10/1/1982,1.028646831,1.033308765,1.031778453,1.034910247,1.033609024,1.037286833,1.038210071,1.040535655,1.045282694,1.053303411
